"QID","itemLabel","itemDescription","P1196","P19","P20","P21","P27","P509","P569"
"Q108301","Maurice Utrillo","French painter (1883-1955)",NA,"""Montmartre""","""Dax""","""male""","""France""",NA,"""1883-12-26T00:00:00Z"""
"Q117856","Channa Horwitz","American artist (1932-2013)",NA,"""California""","""Santa Monica""","""female""","""United States of America""",NA,"""1932-05-21T00:00:00Z"""
"Q123071","Arnold Böcklin","Swiss painter, draftsman, graphic artist and sculptor (1827-1901)",NA,"""Basel""","""Fiesole""","""male""","""Switzerland""",NA,"""1827-10-16T00:00:00Z"""
"Q130039","Cornelis Saftleven","Dutch painter (1607-1681)",NA,"""Gorinchem""","""Rotterdam""","""male""","""Netherlands""",NA,"""1607-01-01T00:00:00Z"""
"Q131018","François Rabelais","16th-century French writer and humanist",NA,"""Chinon"",""Seuilly""","""Paris""","""male""","""Kingdom of France""",NA,"""1494-01-01T00:00:00Z"",""1493-01-01T00:00:00Z"""
"Q132305","Willem de Kooning","Dutch painter (1904–1997)","""natural causes""","""Rotterdam""","""East Hampton""","""male""","""United States of America"",""Kingdom of the Netherlands""","""Alzheimer's disease""","""1904-04-24T00:00:00Z"""
"Q134942","William Somerset Maugham","English playwright, novelist, short story writer (1874-1965)",NA,"""Paris""","""Nice""","""male""","""United Kingdom"",""United Kingdom of Great Britain and Ireland""","""pneumonia""","""1874-01-25T00:00:00Z"""
"Q143595","Stradanus","Flemish painter, draughtsman and tapestry designer (1523–1605)",NA,"""Bruges""","""Florence""","""male""","""Southern Netherlands""",NA,"""1523-01-01T00:00:00Z"""
"Q147144","Zao Wou-Ki","Chinese-French painter (1920-2013)","""natural causes""","""Beijing""","""Nyon""","""male""","""Taiwan"",""France"",""Republic of China""","""complication""","""1920-02-01T00:00:00Z"""
"Q150679","Anthony van Dyck","Flemish Baroque artist (1599-1641)",NA,"""Antwerp""","""London""","""male""","""Spanish Netherlands""",NA,"""1599-03-22T00:00:00Z"""
"Q152233","El Lissitzky","Soviet artist, designer, photographer, teacher, typographer and architect (1890–1941)","""natural causes""","""Pochinok""","""Moscow""","""male""","""Russian Empire"",""Soviet Union""","""tuberculosis""","""1890-11-22T00:00:00Z"""
"Q154599","Robert Doisneau","French photographer",NA,"""Gentilly""","""Montrouge""","""male""","""France""",NA,"""1912-04-14T00:00:00Z"""
"Q154340","Francis Bacon","Irish-born British figurative painter, 1909–1992","""natural causes""","""Dublin""","""Madrid""","""male""","""United Kingdom"",""Republic of Ireland""","""myocardial infarction""","""1909-10-28T00:00:00Z"""
"Q156567","Henri Cartier-Bresson","French photographer",NA,"""Chanteloup-en-Brie""","""Montjustin""","""male""","""France""",NA,"""1908-08-22T00:00:00Z"""
"Q154782","Adelbert von Chamisso","German poet and botanist (1781–1838)",NA,"""Châlons-en-Champagne""","""Berlin""","""male""","""Kingdom of France"",""Kingdom of Prussia""","""lung cancer""","""1781-01-30T00:00:00Z"""
"Q155376","Lorenzo Monaco","Italian painter (c. 1370 – c. 1425)",NA,"""Siena""","""Florence""","""male""","""Italy""",NA,"""1370-01-01T00:00:00Z"""
"Q155626","John Singer Sargent","American painter (1856–1925)","""natural causes""","""Florence""","""London""","""male""","""United States of America""","""cardiovascular disease""","""1856-01-12T00:00:00Z"""
"Q157321","Francis Picabia","French painter and writer (1879-1953)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1879-01-22T00:00:00Z"""
"Q160236","Metropolitan Museum of Art","art museum in New York City, United States",NA,NA,NA,NA,NA,NA,NA
"Q161048","Alois Senefelder","German actor and inventor of lithography",NA,"""Prague""","""Munich""","""male""","""Kingdom of Bavaria""",NA,"""1771-11-06T00:00:00Z"""
"Q164358","Robert Rauschenberg","American painter and graphic artist (1925–2008)","""natural causes""","""Port Arthur""","""Captiva""","""male""","""Germany"",""United States of America""","""myocardial infarction""","""1925-10-22T00:00:00Z"""
"Q164823","Girolamo Savonarola","Italian Dominican friar and preacher (1452-1498)","""capital punishment""","""Ferrara""","""Florence""","""male""","""Duchy of Ferrara"",""Republic of Florence""","""death by burning""","""1452-09-30T00:00:00Z"""
"Q166379","Philip de Koninck","painter from the Northern Netherlands (1619–1688)",NA,"""Amsterdam""","""Amsterdam""","""male""","""Netherlands""",NA,"""1619-11-13T00:00:00Z"",""1619-11-05T00:00:00Z"""
"Q166585","Philipp Otto Runge","German artist (1777-1810)","""natural causes""","""Wolgast""","""Hamburg""","""male""","""Germany""","""tuberculosis""","""1777-07-23T00:00:00Z"""
"Q170071","Josef Albers","German-American designer, painter, educator and typographer (1888-1976)",NA,"""Bottrop""","""New Haven""","""male""","""Germany"",""United States of America""",NA,"""1888-03-19T00:00:00Z"""
"Q180374","Frank Gehry","Canadian-American architect",NA,"""Toronto""",NA,"""male""","""Canada"",""United States of America""",NA,"""1929-02-28T00:00:00Z"""
"Q180932","François Boucher","French painter (1703-1770)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1703-09-29T00:00:00Z"""
"Q182791","Jean-Baptiste Carpeaux","French sculptor and painter (1827-1875)",NA,"""Valenciennes""","""Courbevoie""","""male""","""France""",NA,"""1827-05-11T00:00:00Z"""
"Q186748","Dante Gabriel Rossetti","English poet, illustrator, painter, and translator (1828-1882)",NA,"""London""","""Birchington-on-Sea"",""United Kingdom""","""male""","""United Kingdom of Great Britain and Ireland""","""nephritis""","""1828-05-12T00:00:00Z"""
"Q187496","Henri Harpignies","French painter (1819-1916)",NA,"""Valenciennes""","""Saint-Privé""","""male""","""France""",NA,"""1819-07-24T00:00:00Z"""
"Q188857","Nicolas Boileau-Despréaux","French poet and critic (1636–1711)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1636-11-01T00:00:00Z"""
"Q192720","Thomas Gainsborough","English portrait and landscape painter (1727-1788)","""natural causes""","""Sudbury""","""London""","""male""","""United Kingdom""","""cancer""","""1727-05-14T00:00:00Z"""
"Q203306","Herman Hugo","Jesuit priest, writer, military chaplain","""natural causes""","""Gray"",""City of Brussels"",""Brussels metropolitan area""","""Rheinberg""","""male""",NA,"""plague""","""1588-05-09T00:00:00Z"""
"Q207929","Pontormo","Florentine Mannerist painter",NA,"""Empoli""","""Florence""","""male""","""Italy""",NA,"""1494-06-02T00:00:00Z"""
"Q213727","Ludwig Meidner","German expressionist artist (1884-1966)",NA,"""Bierutów"",""United Kingdom""","""Darmstadt""","""male""","""Germany""",NA,"""1884-04-18T00:00:00Z"""
"Q214008","Eugene Spiro","Wrocław born American artist (1874-1972)",NA,"""Wrocław""","""New York City""","""male""","""Germany""",NA,"""1874-04-18T00:00:00Z"""
"Q214957","Thomas Nast","American cartoonist (1840–1902)","""natural causes""","""Landau in der Pfalz""","""Guayaquil""","""male""","""Germany"",""United States of America""","""yellow fever""","""1840-09-27T00:00:00Z"""
"Q217816","Limbourg brothers","Dutch manuscript illuminators",NA,NA,"""Bourges""",NA,NA,"""plague""",NA
"Q220545","Zoran Mušič","Slovenian painter and engraver (1909-2005)",NA,"""Bukovica""","""Venice""","""male""","""Kingdom of Italy"",""Yugoslavia"",""Slovenia"",""Austria-Hungary""",NA,"""1909-02-12T00:00:00Z"""
"Q221043","Simone Martini","Italian painter",NA,"""Siena""","""Avignon""","""male""","""Italy""",NA,"""1284-01-01T00:00:00Z"""
"Q222923","Vincenzo Foppa","Northern-Italian Renaissance painter (1427-1515)",NA,"""Brescia"",""Bagnolo Mella""","""Brescia""","""male""",NA,NA,"""1400-01-01T00:00:00Z"""
"Q231121","Yayoi Kusama","Japanese painter, performance, and installation artist",NA,"""Matsumoto""",NA,"""female""","""Japan""",NA,"""1929-03-22T00:00:00Z"""
"Q232423","Judith Leyster","Dutch Golden Age painter (1609-1660)",NA,"""Haarlem""","""Heemstede""","""female""","""Dutch Republic""",NA,"""1609-01-01T00:00:00Z"""
"Q235281","Helen Frankenthaler","American painter",NA,"""Manhattan""","""Darien""","""female""","""United States of America""",NA,"""1928-12-12T00:00:00Z"""
"Q239980","Carlo Cignani","Italian painter (1628-1719)",NA,"""Bologna""","""Forlì""","""male""","""Papal States""",NA,"""1628-05-15T00:00:00Z"""
"Q240737","Andrea del Castagno","Italian painter","""natural causes""","""San Godenzo""","""Florence""","""male""",NA,"""plague""","""1420-01-01T00:00:00Z"""
"Q252357","Charles-François Daubigny","French painter (1817-1878)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1817-02-15T00:00:00Z"""
"Q257113","Barry Flanagan","British sculptor","""natural causes""","""Prestatyn""","""Santa Eulària des Riu""","""male""","""United Kingdom""","""amyotrophic lateral sclerosis""","""1941-01-11T00:00:00Z"""
"Q215461","Hans Hofmann","German-American painter",NA,"""Weißenburg in Bayern"",""Weißenberg""","""New York City""","""male""","""Germany"",""United States of America""",NA,"""1880-03-21T00:00:00Z"""
"Q5580","Albrecht Dürer","German painter, printmaker, mathematician, and theorist (1471—1528)",NA,"""Nuremberg""","""Nuremberg""","""male""","""Duchy of Bavaria""",NA,"""1471-05-30T00:00:00Z"""
"Q60163","Leo von Klenze","German architect and painter (1784–1864)",NA,"""Schladen""","""Munich""","""male""","""Kingdom of Bavaria""",NA,"""1784-02-29T00:00:00Z"""
"Q297","Diego Velázquez","Spanish painter (1599-1660)",NA,"""Seville""","""Madrid""","""male""","""Spain""",NA,"""1599-06-06T00:00:00Z"""
"Q5233","François-Édouard Picot","French painter (1786-1868)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1786-10-17T00:00:00Z"""
"Q5571","Andrea del Sarto","Italian painter (1486-1530)","""natural causes""","""Florence""","""Florence""","""male""","""Republic of Florence""","""plague""","""1486-07-25T00:00:00Z"""
"Q5594","Antonello da Messina","Italian Renaissance painter (1430-1479)",NA,"""Messina""","""Messina""","""male""","""Kingdom of Sicily""",NA,"""1430-01-01T00:00:00Z"""
"Q5664","Fra Angelico","Italian Early Renaissance painter",NA,"""Vicchio""","""Rome""","""male""",NA,NA,"""1390-01-01T00:00:00Z"""
"Q5811","Masaccio","Italian painter (1401-1428)",NA,"""San Giovanni Valdarno""","""Rome""","""male""",NA,NA,"""1401-12-30T00:00:00Z"""
"Q7789","Ambrogio Bergognone","Italian Renaissance painter",NA,"""Fossano""","""Milan""","""male""",NA,NA,"""1453-01-01T00:00:00Z"""
"Q8511","Lorenzo di Credi","Italian Renaissance painter and sculptor (c.1459-1537)",NA,"""Florence""","""Florence""","""male""","""Republic of Florence"",""Duchy of Florence""",NA,"""1459-01-01T00:00:00Z"""
"Q9348","Parmigianino","Italian Mannerist painter and printmaker (1503–1540)",NA,"""Parma""","""Casalmaggiore""","""male""","""Italy""",NA,"""1503-01-21T00:00:00Z"""
"Q15975","Montesquieu","French social commentator and political thinker (1689-1755)",NA,"""Château de la Brède""","""Paris""","""male""","""Kingdom of France""",NA,"""1689-01-18T00:00:00Z"""
"Q16867","Edgar Allan Poe","American writer and literary critic (1809–1849)",NA,"""Boston""","""Baltimore""","""male""","""United States of America""","""http://www.wikidata.org/.well-known/genid/3224ee5b5a9edfa89c05c4364696eb34""","""1809-01-19T00:00:00Z"""
"Q25973","Hermann Hesse","German writer (1877–1962)","""natural causes""","""Calw""","""Montagnola""","""male""","""Germany"",""Switzerland"",""German Empire"",""Russian Empire""","""stroke""","""1877-07-02T00:00:00Z"""
"Q25942","Walther Klemm","German painter (1883-1957)",NA,"""Karlovy Vary""","""Weimar""","""male""","""Germany"",""Austria""",NA,"""1883-06-18T00:00:00Z"""
"Q29473","Pietro Metastasio","Italian poet and librettist (1698–1782)",NA,"""Rome""","""Vienna""","""male""",NA,NA,"""1698-01-03T00:00:00Z"""
"Q37562","Donatello","Early Renaissance Italian sculptor",NA,"""Florence""","""Florence""","""male""","""Republic of Florence""",NA,"""1386-01-01T00:00:00Z"""
"Q44032","Egon Schiele","Austrian painter (1890-1918)","""natural causes""","""Tulln an der Donau""","""Vienna""","""male""","""Austria"",""Austria-Hungary""","""1918-1920 flu pandemic""","""1890-06-12T00:00:00Z"""
"Q45006","Franz Stuck","German painter, sculptor, printmaker, and architect (1863-1928)",NA,"""Tettenweis""","""Děčín"",""Munich""","""male""","""Germany""",NA,"""1863-02-23T00:00:00Z"""
"Q48900","Ludovico Ariosto","Italian poet",NA,"""Reggio Emilia""","""Ferrara""","""male""",NA,NA,"""1474-09-17T00:00:00Z"""
"Q49752","Pierre de Ronsard","French poet (1524-1585)",NA,"""La Possonnière Castle""","""La Riche""","""male""","""France""",NA,"""1524-09-21T00:00:00Z"""
"Q54022","Stanisław Leszczyński","King of Poland and Grand Duke of Lithuania",NA,"""Lviv""","""Lunéville""","""male""","""Polish–Lithuanian Commonwealth"",""France""",NA,"""1677-10-20T00:00:00Z"",""1670-10-20T00:00:00Z"""
"Q57386","Kurt Tucholsky","Jewish-German journalist, satirist and writer","""suicide""","""Berlin""","""Gothenburg""","""male""","""Germany"",""Weimar Republic""","""drug overdose""","""1890-01-09T00:00:00Z"""
"Q60809","Ansel Adams","American photographer and environmentalist (1902–1984)",NA,"""San Francisco""","""Carmel-by-the-Sea""","""male""","""United States of America""","""Covid 19""","""1902-02-20T00:00:00Z"""
"Q61649","Maria Antonia Walpurgis of Bavaria","German composer, opera singer and librettist (1724-1780)",NA,"""Munich""","""Dresden""","""female""","""Germany""",NA,"""1724-07-18T00:00:00Z"""
"Q63206","Otto Brunfels","German botanist and theologian (1488-1534)",NA,"""Mainz""","""Bern""","""male""","""Germany""",NA,"""1488-01-01T00:00:00Z"""
"Q64434","Carl Ferdinand Langhans","German architect",NA,"""Wrocław""","""Berlin""","""male""","""Kingdom of Prussia""",NA,"""1782-01-14T00:00:00Z"""
"Q90471","Johann Hieronymus Kniphof","German botanist (1704–1763)",NA,"""Erfurt""","""Erfurt""","""male""","""Holy Roman Empire"",""Erfurter Staat""",NA,"""1704-02-24T00:00:00Z"""
"Q151152","Juan Gris","Spanish artist (1887–1927)",NA,"""Madrid""","""Paris"",""Boulogne-Billancourt""","""male""","""Spain""","""kidney failure""","""1887-03-23T00:00:00Z"""
"Q91618","Bruno Cassirer","German publisher and art dealer (1872–1941)",NA,"""Wrocław""","""Oxford""","""male""","""German Reich""",NA,"""1872-12-12T00:00:00Z"""
"Q134741","Camille Pissarro","Danish-French painter (1830—1903)",NA,"""Charlotte Amalie""","""Paris""","""male""","""France"",""Denmark""","""sepsis""","""1830-07-10T00:00:00Z"""
"Q176694","Antonis Mor","painter from the Northern Netherlands (1519–1575)",NA,"""Utrecht""","""Antwerp""","""male""","""Habsburg Netherlands""",NA,"""1519-01-01T00:00:00Z"""
"Q148458","Jean-François Millet","French painter (1814—1875)",NA,"""Gréville-Hague""","""Barbizon""","""male""","""France""",NA,"""1814-10-04T00:00:00Z"""
"Q167654","Frans Hals","Dutch painter (1580—1666)",NA,"""Antwerp""","""Haarlem""","""male""","""Dutch Republic""",NA,"""1591-01-01T00:00:00Z"",""1582-01-01T00:00:00Z"""
"Q160149","Mark Rothko","American painter of Latvian-Jewish descent (1903–1970)","""suicide""","""Daugavpils""","""Manhattan""","""male""","""Russian Empire"",""United States of America""",NA,"""1903-09-25T00:00:00Z"""
"Q187506","Honoré Daumier","French artist (1808–1879)",NA,"""Marseille""","""Valmondois""","""male""","""France""",NA,"""1808-02-26T00:00:00Z"""
"Q223274","Frédéric Auguste Bartholdi","French sculptor and painter (1834–1904)","""natural causes""","""Colmar""","""6th arrondissement of Paris""","""male""","""France""","""tuberculosis""","""1834-08-02T00:00:00Z"""
"Q217434","Grant Wood","American painter (1891–1942)","""natural causes""","""Anamosa""","""Chicago""","""male""","""United States of America""","""pancreatic cancer""","""1891-02-13T00:00:00Z"""
"Q262791","Steve Reich","American composer",NA,"""New York City""",NA,"""male""","""United States of America""",NA,"""1936-10-03T00:00:00Z"""
"Q259538","Edwin Austin Abbey","American illustrator and painter (1852-1911)",NA,"""Philadelphia""","""London""","""male""","""United States of America""",NA,"""1852-04-01T00:00:00Z"""
"Q261859","Johann Wolfgang Baumgartner","German artist (1702-1761)",NA,"""Ebbs""","""Augsburg""","""male""",NA,NA,"""1712-03-28T00:00:00Z"",""1702-01-01T00:00:00Z"""
"Q264193","Émile Bernard","French painter (1868-1941)",NA,"""Lille""","""Paris""","""male""","""France""",NA,"""1868-04-28T00:00:00Z"""
"Q266637","Paul Sandby","British artist (1725-1809)",NA,"""Nottingham""","""London""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1725-01-01T00:00:00Z"""
"Q271884","Norman Rockwell","American painter and illustrator (1894–1978)",NA,"""New York City""","""Stockbridge""","""male""","""United States of America""","""pulmonary emphysema""","""1894-02-03T00:00:00Z"""
"Q275610","Agnes Martin","American painter","""natural causes""","""Macklin""","""Taos""","""female""","""Canada"",""United States of America""",NA,"""1912-03-22T00:00:00Z"""
"Q276675","Jean Joseph Vadé","French chansonnier, composer and writer",NA,"""Ham""","""Paris""","""male""","""France""",NA,"""1720-01-17T00:00:00Z"""
"Q281637","Ben Nicholson","British painter (1894-1982)",NA,"""Buckinghamshire""","""London""","""male""","""United Kingdom""",NA,"""1894-04-10T00:00:00Z"""
"Q286685","Girolamo da Ponte","Italian painter (1566-1621)",NA,"""Bassano del Grappa""","""Bassano del Grappa""","""male""",NA,NA,"""1566-06-03T00:00:00Z"""
"Q289626","Étienne Dupérac","French architect, painter, engraver, garden designer (c.1525-1604)",NA,"""Paris"",""Bordeaux""","""Paris""","""male""","""France""",NA,"""1525-01-01T00:00:00Z"""
"Q289759","Étienne Jeaurat","painter (1699-1789)",NA,"""Paris""","""Versailles""","""male""","""France""",NA,"""1699-02-09T00:00:00Z"""
"Q294326","Damien Hirst","English sculptor and installation artist",NA,"""Bristol""",NA,"""male""","""United Kingdom""",NA,"""1965-06-07T00:00:00Z"""
"Q297565","Giacomo Barozzi da Vignola","Italian architect",NA,"""Vignola""","""Rome""","""male""","""Papal States""",NA,"""1507-10-11T00:00:00Z"""
"Q309482","Naum Gabo","Russian sculptor (1890-1977)",NA,"""Bryansk""","""Waterbury""","""male""","""Russian Empire"",""United States of America"",""Russian Soviet Federative Socialist Republic""",NA,"""1890-08-05T00:00:00Z"""
"Q309733","Vincenzo Scamozzi","16th century Italian architect",NA,"""Vicenza""","""Venice""","""male""","""Republic of Venice""",NA,"""1548-09-12T00:00:00Z"""
"Q310002","François Fénelon","French archbishop, theologian and writer (1651–1715)",NA,"""Sainte-Mondane""","""Cambrai""","""male""","""France""",NA,"""1651-08-06T00:00:00Z"""
"Q312617","Rosso Fiorentino","Italian painter","""suicide""","""Florence""","""Paris""","""male""","""France""",NA,"""1494-03-17T00:00:00Z"""
"Q312786","Robert Mapplethorpe","American photographer","""natural causes""","""Floral Park"",""New York City""","""Boston""","""male""","""United States of America""",NA,"""1946-11-04T00:00:00Z"""
"Q314275","Quinten Metsys","Flemish painter (1466-1530)",NA,"""Leuven""","""Antwerp""","""male""","""Duchy of Brabant"",""Habsburg Netherlands""",NA,"""1466-05-05T00:00:00Z"",""1466-01-01T00:00:00Z"""
"Q318886","Eugen Napoleon Neureuther","German artist (1806-1882)",NA,"""Munich""","""Munich""","""male""","""Germany"",""Kingdom of Bavaria""",NA,"""1806-01-13T00:00:00Z"",""1806-01-11T00:00:00Z"",""1806-01-01T00:00:00Z"""
"Q320821","Jack Tworkov","American artist (1900-1982)",NA,"""Biała Podlaska""","""Provincetown""","""male""","""Poland"",""United States of America""",NA,"""1900-08-15T00:00:00Z"""
"Q322341","Pierre-Jean Mariette","French art historian",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1694-05-07T00:00:00Z"""
"Q322030","Eugène Atget","French photographer (1857-1927)",NA,"""Libourne""","""14th arrondissement of Paris""","""male""","""France""",NA,"""1857-02-12T00:00:00Z"""
"Q323843","Cornelis Galle the Younger","Flemish printmaker",NA,"""Antwerp""","""Antwerp""","""male""","""Southern Netherlands""",NA,"""1615-02-01T00:00:00Z"""
"Q324096","Jacob Binck","German Renaissance painter and architect",NA,"""Cologne""","""Königsberg""","""male""","""Germany""",NA,"""1500-01-01T00:00:00Z"""
"Q324318","Joseph von Führich","Czech painter (1800-1876)",NA,"""Chrastava""","""Vienna""","""male""","""Austria""",NA,"""1800-02-09T00:00:00Z"""
"Q325945","Art Spiegelman","American cartoonist and writer (born 1948)",NA,"""Stockholm""",NA,"""male""","""United States of America""",NA,"""1948-02-15T00:00:00Z"""
"Q330270","Jean-Charles François","French printer and engraver",NA,"""Nancy""","""Paris""","""male""","""France""",NA,"""1717-05-04T00:00:00Z"""
"Q331047","Adolf Hirémy-Hirschl","painter (1860-1933)",NA,"""Timișoara""","""Rome""","""male""","""Austria""",NA,"""1860-01-31T00:00:00Z"""
"Q331871","Charles-Louis Clérisseau","French architectural draughtsman, antiquary and artist (1721-1820)",NA,"""Paris""","""Auteuil""","""male""","""France""",NA,"""1721-08-28T00:00:00Z"""
"Q332494","Luca Giordano","Italian Baroque painter (1634–1705)",NA,"""Naples""","""Naples""","""male""","""Kingdom of Naples""",NA,"""1634-10-18T00:00:00Z"",""1632-01-01T00:00:00Z"""
"Q334001","Thomas Cole","19th-century American painter (1801-1848)","""natural causes""","""Bolton"",""Bolton le Moors""","""Catskill"",""New York City""","""male""","""United Kingdom of Great Britain and Ireland"",""United States of America""","""myocardial infarction""","""1801-02-01T00:00:00Z"""
"Q334681","Gabriel François Doyen","French painter (1726-1806)",NA,"""Paris""","""Saint Petersburg""","""male""","""France""",NA,"""1726-05-20T00:00:00Z"""
"Q336028","Francesco Piranesi","Italian engraver","""natural causes""","""Rome""","""Paris""","""male""","""Papal States""","""syphilis""","""1758-01-01T00:00:00Z"",""1756-01-01T00:00:00Z"""
"Q336467","Philippe Soupault","French writer (1897-1990)",NA,"""Chaville""","""16th arrondissement of Paris""","""male""","""France""",NA,"""1897-08-02T00:00:00Z"""
"Q347455","Jules Coignet","French painter (1798-1860)",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1798-11-02T00:00:00Z"""
"Q349872","Célestin Nanteuil","French painter, engraver and illustrator (1813-1873)",NA,"""Rome""","""Bourron-Marlotte""","""male""","""France""",NA,"""1813-07-11T00:00:00Z"""
"Q350566","Arnaud Berquin","French children's author",NA,"""Bordeaux""","""Paris""","""male""","""France""",NA,"""1749-09-25T00:00:00Z"",""1747-09-25T00:00:00Z"""
"Q358612","Israel Silvestre","French artist (1621-1691)",NA,"""Nancy""","""Paris""","""male""","""France""",NA,"""1621-08-13T00:00:00Z"""
"Q360466","George Cruikshank","British caricaturist and book illustrator; (1792-1878)",NA,"""London""","""London""","""male""","""United Kingdom""",NA,"""1792-09-27T00:00:00Z"""
"Q361396","Leon Kossoff","painter (1926-2019)",NA,"""London""","""London""","""male""","""United Kingdom""",NA,"""1926-12-07T00:00:00Z"""
"Q362016","Stefano di Giovanni","Italian painter (1392-1450)",NA,"""Siena"",""Cortona""","""Siena""","""male""",NA,NA,"""1392-01-01T00:00:00Z"""
"Q363308","Walker Evans","American photographer and photojournalist (1903-1975)",NA,"""St. Louis""","""New Haven""","""male""","""United States of America""",NA,"""1903-11-03T00:00:00Z"""
"Q364184","Adolf Schreyer","German painter (1828-1899)",NA,"""Frankfurt""","""Kronberg im Taunus""","""male""","""Germany""",NA,"""1828-07-09T00:00:00Z"""
"Q364498","David d'Angers","French sculptor and medallist (1788-1856)",NA,"""Angers""","""Paris""","""male""","""France""",NA,"""1788-03-12T00:00:00Z"""
"Q364658","Henry Tonks","British artist (1862-1937)",NA,"""Birmingham""","""London""","""male""","""United Kingdom"",""United Kingdom of Great Britain and Ireland""",NA,"""1862-04-09T00:00:00Z"""
"Q367973","Arman","French-born American artist (1928-2005)","""natural causes""","""Nice""","""New York City""","""male""","""France"",""United States of America""","""cancer""","""1928-11-17T00:00:00Z"""
"Q368546","Domenico Veneziano","Italian Renaissance painter (1410-1461)",NA,"""Venice""","""Florence""","""male""","""Republic of Venice""",NA,"""1410-01-01T00:00:00Z"""
"Q370567","Jan van der Heyden","Dutch painter, glass painter, draughtsman and printmaker (1637–1712)",NA,"""Gorinchem""","""Amsterdam""","""male""","""Netherlands""",NA,"""1637-03-05T00:00:00Z"""
"Q379521","Ercole de' Roberti","Italian Renaissance painter (1450-1496)",NA,"""Ferrara""","""Ferrara""","""male""",NA,NA,"""1456-01-01T00:00:00Z"",""1450-01-01T00:00:00Z"""
"Q380052","Marià Fortuny Marsal","Spanish painter (1838-1874)","""natural causes""","""Reus""","""Rome""","""male""","""Spain""",NA,"""1838-07-11T00:00:00Z"",""1838-06-11T00:00:00Z"""
"Q385941","William Zorach","American artist",NA,"""Jurbarkas""","""Bath""","""male""","""United States of America""",NA,"""1889-01-01T00:00:00Z"",""1887-02-28T00:00:00Z"""
"Q381728","George Stubbs","British painter (1724–1806)",NA,"""Liverpool""","""London""","""male""","""United Kingdom"",""United Kingdom of Great Britain and Ireland""",NA,"""1724-08-24T00:00:00Z"""
"Q379949","Tristan Bernard","French playwright",NA,"""Besançon""","""7th arrondissement of Paris""","""male""","""France""",NA,"""1866-09-07T00:00:00Z"""
"Q388090","Afro Basaldella","Italian painter (1912-1976)",NA,"""Udine""","""Zürich""","""male""","""Italy"",""Kingdom of Italy""",NA,"""1912-03-04T00:00:00Z"""
"Q389912","William Eggleston","American photographer",NA,"""Memphis""",NA,"""male""","""United States of America""",NA,"""1939-07-27T00:00:00Z"""
"Q394503","Agnes Denes","American artist",NA,"""Budapest""",NA,"""female""","""Hungary"",""United States of America""",NA,"""1931-05-01T00:00:00Z"""
